node,split,p1,p0,feature_path
root,stalk-surface-above-ring_k,0.4788674599917932,0.5211325400082069,None
1,gill-spacing_c,0.9449606862044317,0.055039313795568263,['stalk-surface-above-ring_k']
0,gill-color_b,0.29122302158273383,0.7087769784172662,['stalk-surface-above-ring_k']
1-1,None,1.0,0.0,"['stalk-surface-above-ring_k', 'gill-spacing_c']"
1-0,None,0.0,1.0,"['stalk-surface-above-ring_k', 'gill-spacing_c']"
0-1,None,1.0,0.0,"['stalk-surface-above-ring_k', 'gill-color_b']"
0-0,None,0.1792735754748417,0.8207264245251583,"['stalk-surface-above-ring_k', 'gill-color_b']"
