node,split,p1,p0,feature_path
root,ring-number_t,0.48871563397620027,0.5112843660237998,None
1,stalk-root_b,0.1218274111675127,0.8781725888324873,['ring-number_t']
0,cap-color_u,0.5209821428571428,0.47901785714285716,['ring-number_t']
1-1,None,0.5581395348837209,0.4418604651162791,"['ring-number_t', 'stalk-root_b']"
1-0,None,0.0,1.0,"['ring-number_t', 'stalk-root_b']"
0-1,None,0.0,1.0,"['ring-number_t', 'cap-color_u']"
0-0,None,0.5219141323792487,0.47808586762075134,"['ring-number_t', 'cap-color_u']"
