node,split,p1,p0,feature_path
root,stalk-root_?,0.47927780057447683,0.5207221994255232,None
1,habitat_g,0.7078651685393258,0.29213483146067415,['stalk-root_?']
0,stalk-color-above-ring_b,0.3849275362318841,0.615072463768116,['stalk-root_?']
1-1,None,0.0,1.0,"['stalk-root_?', 'habitat_g']"
1-0,None,0.7905882352941176,0.20941176470588235,"['stalk-root_?', 'habitat_g']"
0-1,None,1.0,0.0,"['stalk-root_?', 'stalk-color-above-ring_b']"
0-0,None,0.3391466832762379,0.660853316723762,"['stalk-root_?', 'stalk-color-above-ring_b']"
