n,train,validation
1,0.6185884283955683,0.5944615384615385
2,0.5184653262207632,0.5003076923076923
5,0.8356585966352073,0.8406153846153847
10,0.797291752154288,0.8006153846153846
25,0.8851046368485843,0.8990769230769231
