rseed,train,validation
1337,0.9751743947476406,0.9846153846153847
1338,0.9714813295034879,0.9796923076923076
1339,0.9727123512515388,0.9821538461538462
88,0.9768157570783751,0.9846153846153847
8888,0.9665572425112844,0.9778461538461538
4444,0.9591711120229791,0.9667692307692308
13,0.9762002462043496,0.9833846153846154
7,0.9673779236766517,0.9796923076923076
2,0.9544521953221173,0.968
9999,0.9384489125974559,0.9544615384615385
