m,train,validation
1,0.7755437012720559,0.7809230769230769
2,0.8937217890849405,0.9101538461538462
5,0.867870332375872,0.8836923076923077
10,0.8939269593762823,0.9058461538461539
25,0.9288059089043906,0.948923076923077
50,0.9698399671727533,0.9790769230769231
