trial_0,1,0,6,-8.07669120796661e+29,-8.288593760372416e+28,-2.2242889466023424e+29,-1.715059827282936e+29,-7.434309345769141e+27,-3.489457105796203e+29,-5.845206421347053e+27,-4.756889278743915e+28,-5.514150691978904e+29,-4.783138945265751e+29,-1.650255793580586e+29,-8.6054241202363e+28,-7.901965876889207e+29,-3.263928474382944e+28,-8.066739832019761e+29,-8.039929349649351e+29,-8.136176860756467e+29,-2.6539532354132572e+29,-1.189834175901583e+28,-6.38792073165975e+28,-8.073929761423693e+29,-4.4776416943488026e+29
trial_1,1,0.001,6,-8.076691741670623e+29,-8.288594308078828e+28,-2.224289093582336e+29,-1.715059940613294e+29,-7.434309837024828e+27,-3.489457336377897e+29,-5.845206807595565e+27,-4.7568895930769445e+28,-5.514151056351411e+29,-4.783139261333337e+29,-1.6502559026287165e+29,-8.605424688878722e+28,-7.901966399047466e+29,-3.2639286900618186e+28,-8.066740365066175e+29,-8.039929880924098e+29,-8.136177398391217e+29,-2.6539534107852387e+29,-1.1898342545252735e+28,-6.387921153770569e+28,-8.073930294945187e+29,-4.4776419902293e+29
trial_2,1,0.01,6,-8.076696545007707e+29,-8.288599237437774e+28,-2.224290416402453e+29,-1.715060960586741e+29,-7.434314258327222e+27,-3.48945941161372e+29,-5.845210283833098e+27,-4.756892422074908e+28,-5.514154335704815e+29,-4.783142105942372e+29,-1.6502568840621697e+29,-8.605429806661768e+28,-7.90197109847258e+29,-3.263930631172165e+28,-8.066745162485044e+29,-8.03993466239841e+29,-8.136182237105472e+29,-2.6539549891335854e+29,-1.1898349621386434e+28,-6.387924952768934e+28,-8.073935096640065e+29,-4.477644653154272e+29
trial_3,1,0.1,6,-8.076744578505073e+29,-8.288648531156772e+28,-2.2243036446384384e+29,-1.715071160347943e+29,-7.434358471467102e+27,-3.4894801640263396e+29,-5.845245046299534e+27,-4.756920712128664e+28,-5.5141871293248405e+29,-4.7831705521075156e+29,-1.6502666984224344e+29,-8.605480984626341e+28,-7.902018092847787e+29,-3.263950042326511e+28,-8.06679313679981e+29,-8.039982477266512e+29,-8.136230624374346e+29,-2.6539707726583438e+29,-1.1898420382908992e+28,-6.387962942852484e+28,-8.073983113714559e+29,-4.4776712824737195e+29
trial_4,1,1,6,-8.077224926047525e+29,-8.289141481244898e+28,-2.2244359304596557e+29,-1.7151731606289857e+29,-7.434800614435287e+27,-3.489687693582951e+29,-5.845592680060302e+27,-4.757203620069026e+28,-5.5145150741063535e+29,-4.783455021202388e+29,-1.650364844593239e+29,-8.605992777663983e+28,-7.902488048896834e+29,-3.2641441589493844e+28,-8.067272892500958e+29,-8.040460638459663e+29,-8.136714509725338e+29,-2.6541286120360746e+29,-1.189912801665109e+28,-6.388342853628514e+28,-8.074463297024689e+29,-4.477937582636511e+29
trial_5,1,10,6,-8.082029658568781e+29,-8.29407227220507e+28,-2.22575913487136e+29,-1.7161934303800373e+29,-7.439223201230712e+27,-3.4917635322656545e+29,-5.849069927445442e+27,-4.760033439858887e+28,-5.51779538017166e+29,-4.7863004566229365e+29,-1.651346563155411e+29,-8.611112047432468e+28,-7.907188839288965e+29,-3.266085833192394e+28,-8.072071705060904e+29,-8.04524350176594e+29,-8.141554629590638e+29,-2.655707418888009e+29,-1.1906206205989575e+28,-6.39214295563717e+28,-8.079266386792547e+29,-4.480601281187115e+29
trial_6,1,100,6,-8.130202859552303e+29,-8.343509360092565e+28,-2.2390258446799365e+29,-1.7264228572122026e+29,-7.483564933391434e+27,-3.5125763025141635e+29,-5.883933499226571e+27,-4.788405774193157e+28,-5.550684379230622e+29,-4.8148293563677086e+29,-1.661189468123638e+29,-8.662438861225013e+28,-7.954319895875124e+29,-3.2855534441649627e+28,-8.120185551338222e+29,-8.09319743766376e+29,-8.190082631102447e+29,-2.6715368494453393e+29,-1.1977173535824056e+28,-6.430243531893842e+28,-8.12742311720462e+29,-4.507308051036264e+29
trial_7,0.1,0,8,-1.84881765884836e+32,-1.8973238070660989e+31,-5.091571012153223e+31,-3.9259058109519055e+31,-1.7017714365804582e+30,-7.987639679261802e+31,-1.3380133736876977e+30,-1.0888890850567236e+31,-1.2622321332312038e+32,-1.094897838611175e+32,-3.777564319630196e+31,-1.9698487494084118e+31,-1.8088216667735985e+32,-7.471387038675974e+30,-1.846539711220209e+32,-1.8404025825406196e+32,-1.862434389077859e+32,-6.075106106012677e+31,-2.723623299276549e+30,-1.462244915388912e+31,-1.8481855421806326e+32,-1.0249671333666522e+32
trial_8,0.1,0.001,8,-1.8488178298965443e+32,-1.8973239826019637e+31,-5.091571483213172e+31,-3.925906174167307e+31,-1.7017715940242793e+30,-7.987640418259128e+31,-1.3380134974774944e+30,-1.0888891857981368e+31,-1.2622322500099018e+32,-1.0948979399085062e+32,-3.7775646691213987e+31,-1.9698489316541055e+31,-1.808821834121453e+32,-7.471387729910825e+30,-1.846539882057652e+32,-1.8404027528102575e+32,-1.8624345613858446e+32,-6.075106668066925e+31,-2.723623551259674e+30,-1.4622450506723142e+31,-1.8481857131703403e+32,-1.0249672281941574e+32
trial_9,0.1,0.01,8,-1.84881936933073e+32,-1.8973255624252211e+31,-5.0915757227542915e+31,-3.9259094431071023e+31,-1.7017730110191408e+30,-7.987647069237165e+31,-1.3380146115860258e+30,-1.0888900924711504e+31,-1.2622333010185193e+32,-1.0948988515847578e+32,-3.7775678145433307e+31,-1.969850571865884e+31,-1.8088233402526192e+32,-7.471393951026552e+30,-1.8465414195950746e+32,-1.8404042852375654e+32,-1.862436112158115e+32,-6.0751117265571365e+31,-2.7236258191084035e+30,-1.462246268223324e+31,-1.848187252078196e+32,-1.0249680816420005e+32
