depth,train,validation
1,0.8816167418957734,0.8966153846153846
2,0.9532211735740664,0.9649230769230769
3,0.9848173984407058,0.9895384615384616
4,0.9938448912597456,0.9963076923076923
5,0.9967172753385309,0.9981538461538462
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
